runtime,director_popularity,actor1_popularity,actor2_popularity,actor3_popularity,actor4_popularity,actor5_popularity,cast_pop_mean,cast_pop_max,release_year,release_month,release_quarter,release_month_sin,release_month_cos,is_summer_release,is_holiday_release,release_is_missing,star_count,cast_popularity_std,cast_popularity_range,top2_cast_pop_sum,cast_gender_ratio,director_is_female,director_pop_missing,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,num_genres,keyword_count,keyword_unique_ratio,kw_woman_director,kw_based_on_novel_or_book,kw_short_film,kw_sequel,kw_based_on_true_story,kw_duringcreditsstinger,kw_murder,kw_lgbt,kw_aftercreditsstinger,kw_biography,kw_coming_of_age,kw_revenge,kw_superhero,kw_gay_theme,kw_friendship,kw_new_york_city,kw_based_on_comic,kw_family,kw_anime,kw_amused,kw_remake,kw_love,kw_dystopia,kw_dark_comedy,kw_absurd,lang_en,lang_fr,lang_es,lang_ja,lang_de,lang_it,lang_tl,lang_ko,lang_other,is_english,has_overview,overview_char_count,overview_word_count,overview_unique_word_ratio,has_budget,log_budget,runtime_missing,log_runtime,popularity
88,4.3937,5.3807,7.5046,2.2937,0.8714,2.7685,3.76378,7.5046,2010.0,6.0,2.0,1.2246467991473532e-16,-1.0,1,0,0,2,2.6516855068050584,6.6332,12.8853,0.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,195,30,0.9,1,17.72753358339242,0,4.48863636973214,9.2777
118,4.5431,7.1779,1.3403,12.1359,1.223,5.8441,5.54424,12.1359,2010.0,2.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,3,4.542988257523895,10.912899999999999,19.3138,0.2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,11,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,257,44,0.8863636363636364,1,18.36938746009113,0,4.77912349311153,9.2391
140,0.4676,4.5444,20.8778,3.9124,1.544,1.5507,6.48586,20.8778,2010.0,6.0,2.0,1.2246467991473532e-16,-1.0,1,0,0,3,8.15931499502256,19.3338,25.4222,0.4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,7,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,590,106,0.7547169811320755,1,17.50439003707821,0,4.948759890378168,9.1771
124,1.1523,5.6389,5.6421,2.2515,4.6112,6.5392,4.93658,6.5392,2010.0,6.0,2.0,1.2246467991473532e-16,-1.0,1,0,0,4,1.648857897758324,4.2877,12.1813,0.6,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,10,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,484,80,0.7,1,18.035018277846262,0,4.8283137373023015,8.9124
109,3.0153,16.4194,4.9592,2.4406,7.26,2.1692,6.649679999999999,16.4194,2010.0,6.0,2.0,1.2246467991473532e-16,-1.0,1,0,0,3,5.840990872446215,14.2502,23.6794,0.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,284,47,0.851063829787234,1,18.57768450130904,0,4.700480365792417,8.7564
144,3.1789,4.9758,1.3224,3.8624,3.9709,0.6525,2.9568,4.9758,2010.0,8.0,3.0,-0.8660254037844384,-0.5000000000000004,0,0,0,3,1.8645329857634592,4.3233,8.9467,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,20,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,289,48,0.8333333333333334,1,15.607270193858982,0,4.976733742420574,8.7468
105,2.1104,3.8435,3.5336,14.6504,7.7475,3.488,6.6526,14.6504,2010.0,9.0,3.0,-1.0,-1.8369701987210297e-16,0,0,0,5,4.81657315474394,11.1624,22.3979,0.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,165,28,0.9642857142857143,1,16.166885910365842,0,4.663439094112067,8.662
111,2.4735,5.0469,4.3087,11.415,5.5793,3.1878,5.90754,11.415,2010.0,10.0,4.0,-0.8660254037844386,0.5000000000000001,0,0,0,5,3.2067831767988304,8.2272,16.9943,0.4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,371,61,0.8688524590163934,1,17.87595358575207,0,4.718498871295094,8.6084
112,1.5438,8.2259,13.9576,3.2452,3.0723,3.2173,6.34366,13.9576,2010.0,11.0,4.0,-0.5000000000000004,0.8660254037844384,0,1,0,5,4.785166852158866,10.885299999999999,22.1835,0.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,386,65,0.8615384615384616,1,17.216707972959764,0,4.727387818712341,8.5427
94,2.7553,2.8912,3.0518,1.6036,3.1853,1.1725,2.38088,3.1853,2010.0,7.0,3.0,-0.4999999999999998,-0.8660254037844388,1,0,0,2,0.924932174270092,2.0127999999999995,6.2371,0.6,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,8,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,240,39,0.8717948717948718,1,16.951004817371683,0,4.553876891600541,8.5277
110,2.7058,2.0201,0.3901,0.5663,5.0047,0.2391,1.64406,5.0047,2010.0,10.0,4.0,-0.8660254037844386,0.5000000000000001,0,0,0,1,2.0089301998825144,4.7656,7.024799999999999,0.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,276,50,0.7,0,0.0,0,4.709530201312334,8.3406
110,2.8814,4.4938,4.5577,11.2039,8.8072,1.795,6.17152,11.2039,2010.0,12.0,4.0,-2.4492935982947064e-16,1.0,0,1,0,4,3.7697726797513935,9.408900000000001,20.0111,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,10,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,220,39,0.8717948717948718,1,17.453096744006448,0,4.709530201312334,8.2617
97,0.9572,3.5303,4.7047,2.7423,2.3751,2.8651,3.2435,4.7047,2010.0,2.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,2,0.9173148641551602,2.3295999999999997,8.235,0.2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,248,42,0.8809523809523809,1,16.300417291085605,0,4.584967478670572,8.1424
104,0.8642,0.5058,2.0293,3.168,0.5683,1.7732,1.60892,3.168,2010.0,10.0,4.0,-0.8660254037844386,0.5000000000000001,0,0,0,1,1.1106531218161682,2.6622000000000003,5.1973,0.25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,21,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,220,37,0.8378378378378378,1,15.068273812173887,0,4.653960350157523,8.0973
111,1.1429,4.131,4.1472,2.3868,3.7887,2.4737,3.38548,4.1472,2010.0,3.0,1.0,1.0,6.123233995736766e-17,0,0,0,3,0.8842098602707391,1.7603999999999997,8.2782,0.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,17,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,396,70,0.7428571428571429,1,17.281246492014,0,4.718498871295094,7.9967
123,1.2371,5.5924,4.3087,2.4196,2.3412,1.9197,3.3163199999999997,5.5924,2010.0,8.0,3.0,-0.8660254037844384,-0.5000000000000004,0,0,0,2,1.5708971503570817,3.6727,9.9011,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,339,51,0.8627450980392157,1,17.370858648025116,0,4.820281565605037,7.9927
118,3.1108,4.422,2.7929,4.5939,3.353,2.3238,3.49712,4.5939,2010.0,11.0,4.0,-0.5000000000000004,0.8660254037844384,0,1,0,3,0.9939448661771938,2.2701,9.015899999999998,0.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,27,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,478,81,0.7530864197530864,1,16.52356082573315,0,4.77912349311153,7.8706
98,0.8408,6.1947,3.8032,5.8184,0.8696,2.2493,3.78704,6.1947,2010.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,3,2.2803295667512624,5.3251,12.0131,0.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,15,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,253,43,0.8372093023255814,1,16.811242881518265,0,4.59511985013459,7.8688
90,1.5346,2.8624,3.4518,4.778,1.8043,3.9072,3.36074,4.778,2010.0,5.0,2.0,0.49999999999999994,-0.8660254037844387,1,0,0,3,1.116510702143065,2.9736999999999996,8.6852,0.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,183,29,1.0,1,16.118095750958314,0,4.51085950651685,7.8032
129,0.9064,8.6643,3.7348,1.5905,0.8629,1.3793,3.24636,8.6643,2010.0,11.0,4.0,-0.5000000000000004,0.8660254037844384,0,1,0,2,3.2210756911317686,7.801400000000001,12.3991,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,177,31,0.9354838709677419,1,16.118095750958314,0,4.867534450455582,7.7997
107,1.9642,4.6728,8.6948,3.9951,5.2749,2.6102,5.04956,8.6948,2010.0,8.0,3.0,-0.8660254037844384,-0.5000000000000004,0,0,0,4,2.2662118155635853,6.084600000000001,13.9697,0.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,291,52,0.8269230769230769,1,18.420680753952364,0,4.68213122712422,7.7503
106,2.4538,5.6445,7.3494,2.8472,4.0484,1.4976,4.27742,7.3494,2010.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,3,2.2984422707564356,5.8518,12.9939,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,162,32,0.90625,1,15.76142084987672,0,4.672828834461906,7.6442
140,3.7175,5.0628,5.5847,2.7838,2.4116,2.9368,3.75594,5.5847,2010.0,5.0,2.0,0.49999999999999994,-0.8660254037844387,1,0,0,2,1.4556392712482031,3.1731,10.6475,0.2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,13,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,266,44,0.8181818181818182,1,19.11382792951231,0,4.948759890378168,7.6277
